,댓글
0,🙏
1,👍
2,ㅋㅋㅋㅋㅋㅋㅋ
3,🤣🤣🤣👏👏👏👍
4,@syuadelva 지린닼ㅋㅋㅋ
5,와이티엔에❤️엔터폰😍입니다⭐️소통해요👍
6,천운이네요~~
7,빠른판단력 칭찬합니다👏
8,"진짜 천운이다... 하필 주위에 경찰이, 그것도 하임리히법을 할 줄 아는 경찰이 있었다는게..... (경찰은 다 할 줄 아나요?😝)"
9,다행입니다ㅠ 제가 다 감사하네요:)ㅎㅎ
10,옆에 있는 자식들이 자랑스러워할 아버지네요
11,영상속에 저분은 성추행으로 고소 안하셨는데 굳이 댓글에 성추행으로 고소당할 수 있다고 쓰다니 ;;;
12,진짜 천운이네요 복받으셨어요 진짜 경찰분ㅜㅜ최고심ㅜㅜ
13,와..경찰관님복받으세요👏👏👏
14,형님 멋져요. 한 생명을 구하셨네요. 👍👍👍👍
15,교육이 변해서 초중고 의무교육때 이런거 다 실습해줬으면...ㅠㅠ
16,진짜 저런 은인 만나기 쉽지않으신데...다행이세요.
17,영웅이 뭐 별거 있습니까. 이런분들이 진짜 영웅입니다.
18,엄마들도 하임리히 알아두셔야해요! 애둘 키우면서 진짜 유용하게 썼습니다
19,옆에 아들로 추정되는 분이 엄청 멋잇게 보는 듯 ㅎㅎㅎ
20,멋진 아버지 멋진 경찰
21,"길가에 쓰러지고 바다에 빠져서 죽을뻔한거 CPR로 구해줬더니 ""성추행""으로 고소 당하는 사람들이 있으니 저런식으로 댓글 달리는건 생각도 안하나보네요...성별 따지는게 제일 한심한데 남자가 여자 구조 했다가 여자 한마디에 구조한 남자는 성추행범 이미지에 재판까지 가는 판국에 나만 다른 세상에서 살고 있는건가..."
22,생명의 은인이세
23,@_owoniiii 우리나라 국민수준봐 ㅋㅋㅋㅋㅋ미친 여기 댓글에서 성추행 얘기가 나온다.. 사람살린 사람한테!!수준들이 기가막히고 코가 막힌닼ㅋㅋㅋㅋㅋ
24,@hye_charming 저런 경찰관님 멋있다 ㅠㅠ 복 받으실 고야
25,@ji_iiiiiii 유자 저거 할줄 아나?
26,@zmn_nyy
27,@soyami._.daily 나 라이프가드있어서 심폐소생이랑 하임리히법 다함 도팅?
28,@alswnlv 우와 ~~
29,@k_daew0n 경찰 멋있어..
30,아이가 도대체 무슨죄인건가.. 모자이크처리된 아이 영상만 봐도 억장이 무너지네요..아동학대 법 강화되어야합니다..
31,3분동안 아이 얼굴을 저렇게 만들었다고?그 짧은 시간에 얼마나 무서웠을까 제발 아동학대에 대한 처벌 좀 강화해주세요
32,"과연 엄마는 전혀 상관없었을까?
저렇게 두눈못뜰정도로 부운거보니까
눈썹뼈 부근을 진짜 칼로 간정도로 때려부순건데 고작3분안에? 그 3분안에 아이가 눈물을 그치고 진정했단건가?"
